br.com.camiloporto.scalability.client.ClientRequest | Thread-54 | Wed Sep 20 21:57:52 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-55 | Wed Sep 20 21:57:53 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-56 | Wed Sep 20 21:57:53 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-28 | Wed Sep 20 21:57:53 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-27 | Wed Sep 20 21:57:54 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-57 | Wed Sep 20 21:57:54 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-58 | Wed Sep 20 21:57:55 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-29 | Wed Sep 20 21:57:55 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-59 | Wed Sep 20 21:57:55 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-31 | Wed Sep 20 21:57:55 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-60 | Wed Sep 20 21:57:56 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-30 | Wed Sep 20 21:57:56 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-61 | Wed Sep 20 21:57:56 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-32 | Wed Sep 20 21:57:57 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-62 | Wed Sep 20 21:57:57 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-33 | Wed Sep 20 21:57:58 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-63 | Wed Sep 20 21:57:58 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-64 | Wed Sep 20 21:57:59 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-34 | Wed Sep 20 21:57:59 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-65 | Wed Sep 20 21:57:59 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-66 | Wed Sep 20 21:58:00 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-67 | Wed Sep 20 21:58:00 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-35 | Wed Sep 20 21:58:01 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-68 | Wed Sep 20 21:58:01 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-69 | Wed Sep 20 21:58:02 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-70 | Wed Sep 20 21:58:02 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-37 | Wed Sep 20 21:58:02 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-71 | Wed Sep 20 21:58:02 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-36 | Wed Sep 20 21:58:03 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-72 | Wed Sep 20 21:58:03 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-38 | Wed Sep 20 21:58:03 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-73 | Wed Sep 20 21:58:03 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-74 | Wed Sep 20 21:58:04 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-39 | Wed Sep 20 21:58:04 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-75 | Wed Sep 20 21:58:04 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-76 | Wed Sep 20 21:58:05 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-40 | Wed Sep 20 21:58:05 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-77 | Wed Sep 20 21:58:05 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-41 | Wed Sep 20 21:58:05 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-78 | Wed Sep 20 21:58:06 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-79 | Wed Sep 20 21:58:07 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-42 | Wed Sep 20 21:58:07 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-80 | Wed Sep 20 21:58:07 BRT 2017 | request sent
